Category,Question,OptionA,OptionB,OptionC,OptionD,Answer
Mizoram,Which tribe is native to Mizoram?,Chakma,Mizo,Naga,Khasi,B
Mizoram,Which river flows through Mizoram?,Tlawng,Yamuna,Ganga,Brahmaputra,A
Mizoram,Mizoram became a state in which year?,1972,1987,1992,1965,B
Nagaland,What is the capital of Nagaland?,Kohima,Imphal,Shillong,Aizawl,A
Nagaland,What is the primary festival of Nagaland?,Hornbill,Sangai,Nongkrem,Losar,A
Nagaland,Which tribe is largest in Nagaland?,Angami,Mizo,Khasi,Garo,A
Nagaland,Which is Nagaland’s largest city?,Kohima,Dimapur,Mokokchung,Tuensang,B
Nagaland,Nagaland became a state in which year?,1963,1972,1987,1992,A
Nagaland,What is the main crop of Nagaland?,Rice,Maize,Tea,Coffee,A
Nagaland,What is the primary language of Nagaland?,Mizo,Naga,English,Assamese,C
Nagaland,Which mountain range is in Nagaland?,Patkai,Himalayas,Satpura,Vindhyas,A
Nagaland,Nagaland shares its border with which state?,Assam,Manipur,Arunachal Pradesh,All of the above,D
Nagaland,What is the official state animal of Nagaland?,Mithun,Tiger,Snow Leopard,Asiatic Lion,A
Tripura,What is the capital of Tripura?,Agartala,Shillong,Kohima,Aizawl,A
Tripura,Which famous palace is located in Tripura?,Ujjayanta Palace,Mysore Palace,Victoria Memorial,Hawa Mahal,A
Tripura,What is the primary language of Tripura?,Bengali,Assamese,Tripuri,Hindi,A
Tripura,Tripura shares its border with which country?,Myanmar,Bangladesh,Bhutan,China,B
Tripura,Which is the main festival of Tripura?,Garia Puja,Hornbill,Bihu,Losar,A
Tripura,Which river flows through Tripura?,Gomati,Brahmaputra,Yamuna,Ganga,A
Tripura,What is the main crop of Tripura?,Rice,Tea,Coffee,Wheat,A
Tripura,Tripura was ruled by which dynasty?,Manikya,Chola,Maurya,Gupta,A
Tripura,What is the largest tribe in Tripura?,Chakma,Tripuri,Khasi,Garo,B
Tripura,Tripura became a state in which year?,1972,1987,1963,1947,A
